Акорди отримано:
			Звуки		| діапазон
 					|ступенів | півтонівре 	фа 	ля ь 	до ь 	мі ь 	соль ь 	   | 10    | 16
ре 	фа 	ля ь 	до ь 	мі ь 	соль ь 	   | 10    | 16
ре 	фа 	ля ь 	до ь 	мі ь 	соль ь 	   | 10    | 16
ре 	фа 	ля ь 	до 	мі ь 	соль ь 	   | 10    | 16
ре 	фа 	ля ь 	до 	мі ь 	соль ь 	   | 10    | 16
ре 	фа 	ля ь 	до 	мі 	соль 	   | 10    | 17
ре 	фа 	ля ь 	до 	мі 	соль 	   | 10    | 17
ре 	фа 	ля 	до 	мі ь 	соль ь 	   | 10    | 16
ре 	фа 	ля 	до 	мі ь 	соль ь 	   | 10    | 16
ре 	фа 	ля 	до 	мі ь 	соль 	   | 10    | 17
ре 	фа 	ля 	до 	мі 	соль 	   | 10    | 17
ре 	фа 	ля 	до 	мі 	соль # 	   | 10    | 18
ре 	фа 	ля 	до 	мі 	соль # 	   | 10    | 18
ре 	фа 	ля 	до # 	мі 	соль 	   | 10    | 17
ре 	фа 	ля 	до # 	мі 	соль # 	   | 10    | 18
ре 	фа 	ля 	до # 	мі 	соль # 	   | 10    | 18
ре 	фа 	ля 	до # 	мі 	соль # 	   | 10    | 18
ре 	фа 	ля 	до # 	мі 	соль # 	   | 10    | 18
ре 	фа 	ля 	до # 	мі 	соль # 	   | 10    | 18
ре 	фа # 	ля 	до 	мі ь 	соль 	   | 10    | 17
ре 	фа # 	ля 	до 	мі ь 	соль 	   | 10    | 17
ре 	фа # 	ля 	до 	мі 	соль 	   | 10    | 17
ре 	фа # 	ля 	до 	мі 	соль # 	   | 10    | 18
ре 	фа # 	ля 	до # 	мі 	соль # 	   | 10    | 18
ре 	фа # 	ля 	до # 	мі 	соль # 	   | 10    | 18
ре 	фа # 	ля 	до # 	мі 	соль # 	   | 10    | 18
ре 	фа # 	ля 	до # 	мі # 	соль # 	   | 10    | 18
ре 	фа # 	ля 	до # 	мі # 	соль # 	   | 10    | 18
ре 	фа # 	ля 	до # 	мі # 	соль # 	   | 10    | 18
ре 	фа # 	ля 	до # 	мі # 	соль # 	   | 10    | 18
ре 	фа # 	ля 	до # 	мі # 	соль # 	   | 10    | 18
ре 	фа # 	ля # 	до # 	мі 	соль # 	   | 10    | 18
ре 	фа # 	ля # 	до # 	мі # 	соль # 	   | 10    | 18
ре 	фа # 	ля # 	до # 	мі # 	соль # 	   | 10    | 18
ре 	фа # 	ля # 	до # 	мі # 	соль х 	   | 10    | 19
ре 	фа # 	ля # 	до # 	мі # 	соль х 	   | 10    | 19
ре 	фа # 	ля # 	до # 	мі # 	соль х 	   | 10    | 19
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	   |  0    |  0
