Акорди отримано:
			Звуки		| діапазон
 					|ступенів | півтонів
до 	мі ь 	соль ь 	сі ьь 	ре ь 	фа ь 	ля ьь 	   | 12    | 19
до 	мі 	соль 	сі ь 	ре 	фа 	ля ь 	   | 12    | 20
до 	мі 	соль 	сі ь 	ре 	фа # 	ля 	   | 12    | 21
до 	мі 	соль # 	сі 	ре # 	фа х 	ля # 	   | 12    | 22
до 	мі ь 	соль ь 	сі ь 	ре ь 	фа ь 	ля ь 	   | 12    | 20
до 	мі ь 	соль ь 	сі ь 	ре 	фа 	ля 	   | 12    | 21
до 	мі ь 	соль ь 	сі ь 	ре 	фа 	ля 	   | 12    | 21
до 	мі ь 	соль 	сі ь 	ре ь 	фа ь 	ля ь 	   | 12    | 20
до 	мі ь 	соль 	сі ь 	ре ь 	фа ь 	ля ь 	   | 12    | 20
до 	мі ь 	соль 	сі ь 	ре ь 	фа 	ля ь 	   | 12    | 20
до 	мі ь 	соль 	сі ь 	ре 	фа 	ля 	   | 12    | 21
до 	мі ь 	соль 	сі ь 	ре 	фа # 	ля 	   | 12    | 21
до 	мі ь 	соль 	сі ь 	ре 	фа # 	ля 	   | 12    | 21
до 	мі 	соль 	сі ь 	ре ь 	фа 	ля ь 	   | 12    | 20
до 	мі 	соль 	сі ь 	ре ь 	фа 	ля ь 	   | 12    | 20
до 	мі 	соль 	сі ь 	ре 	фа 	ля ь 	   | 12    | 20
до 	мі 	соль 	сі ь 	ре 	фа # 	ля 	   | 12    | 21
до 	мі 	соль 	сі 	ре # 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль # 	сі 	ре # 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль # 	сі 	ре # 	фа х 	ля # 	   | 12    | 22
до 	мі 	соль # 	сі 	ре # 	фа х 	ля # 	   | 12    | 22
до 	мі 	соль 	сі ь 	ре 	фа 	ля ь 	   | 12    | 20
до 	мі 	соль 	сі ь 	ре 	фа # 	ля 	   | 12    | 21
до 	мі 	соль 	сі 	ре 	фа # 	ля 	   | 12    | 21
до 	мі 	соль 	сі 	ре 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль 	сі 	ре 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль 	сі 	ре # 	фа # 	ля 	   | 12    | 21
до 	мі 	соль 	сі 	ре # 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль 	сі 	ре # 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль 	сі 	ре # 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль 	сі 	ре # 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль # 	сі 	ре 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль # 	сі 	ре # 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль # 	сі 	ре # 	фа # 	ля # 	   | 12    | 22
до 	мі 	соль # 	сі 	ре # 	фа х 	ля # 	   | 12    | 22
до 	мі 	соль # 	сі 	ре # 	фа х 	ля # 	   | 12    | 22
до 	мі 	соль # 	сі 	ре # 	фа х 	ля # 	   | 12    | 22
    	    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	    	   |  0    |  0
    	    	    	    	    	    	    	   |  0    |  0
